Event,Date,White,Black,Result,WhiteElo,BlackElo,ECO,SpeedChess
Chessable Qualifier 2020,2020-10-18,Mamedov,Svidler,1/2-1/2,2654,2723,C53,1
Chessable Qualifier 2020,2020-10-18,Shankland,Mamedov,1-0,2691,2654,B27,1
Chessable Qualifier 2020,2020-10-17,Jones,Mamedov,0-1,2670,2654,B51,1
Chessable Qualifier 2020,2020-10-17,Svidler,Shankland,1-0,2723,2691,B12,1
Chessable Qualifier 2020,2020-10-17,Svidler,Jones,1-0,2723,2670,A15,1
8th Norway Chess 2020,2020-10-16,Carlsen,Aronian,0-1,2863,2767,D37,0
8th Norway Chess 2020,2020-10-16,Firouzja,Duda,1-0,2728,2757,D78,0
8th Norway Chess 2020,2020-10-15,Firouzja,Carlsen,0-1,2728,2863,A05,0
8th Norway Chess 2020,2020-10-15,Duda,Caruana,1/2-1/2,2757,2828,B48,0
8th Norway Chess 2020,2020-10-13,Caruana,Firouzja,1/2-1/2,2828,2728,B12,0
8th Norway Chess 2020,2020-10-13,Aronian,Duda,1/2-1/2,2767,2757,B36,0
8th Norway Chess 2020,2020-10-12,Caruana,Carlsen,1/2-1/2,2828,2863,B31,0
8th Norway Chess 2020,2020-10-12,Firouzja,Aronian,1/2-1/2,2728,2767,D78,0
8th Norway Chess 2020,2020-10-11,Carlsen,Duda,1-0,2863,2757,D10,0
8th Norway Chess 2020,2020-10-11,Aronian,Caruana,0-1,2767,2828,B40,0
8th Norway Chess 2020,2020-10-10,Duda,Carlsen,1-0,2757,2863,B15,0
8th Norway Chess 2020,2020-10-10,Caruana,Aronian,0-1,2828,2767,E20,0
8th Norway Chess 2020,2020-10-08,Carlsen,Caruana,1-0,2863,2828,E32,0
8th Norway Chess 2020,2020-10-08,Aronian,Firouzja,1/2-1/2,2767,2728,B19,0
8th Norway Chess 2020,2020-10-07,Duda,Aronian,0-1,2757,2767,C48,0
8th Norway Chess 2020,2020-10-07,Firouzja,Caruana,1/2-1/2,2728,2828,A08,0
8th Norway Chess 2020,2020-10-06,Carlsen,Firouzja,1/2-1/2,2863,2728,D35,0
8th Norway Chess 2020,2020-10-06,Caruana,Duda,1-0,2828,2757,D10,0
8th Norway Chess 2020,2020-10-05,Aronian,Carlsen,1/2-1/2,2767,2863,E51,0
8th Norway Chess 2020,2020-10-05,Duda,Firouzja,0-1,2757,2728,B19,0
TCh-ESP Div Honor 2020,2020-09-28,Cheparinov,Van Foreest,1/2-1/2,2686,2682,D37,0
TCh-ESP Div Honor 2020,2020-09-27,Vallejo Pons,Naiditsch,1/2-1/2,2710,2624,C77,0
PRO League KO Stage 2020,2020-09-26,Wei Yi,Giri,0-1,2732,2763,B90,1
PRO League KO Stage 2020,2020-09-26,Saric,Yu Yangyi,0-1,2646,2709,C42,1
PRO League KO Stage 2020,2020-09-26,Grischuk,Wei Yi,1/2-1/2,2777,2732,D40,1
PRO League KO Stage 2020,2020-09-26,Ding Liren,Saric,1-0,2805,2646,E60,1
PRO League KO Stage 2020,2020-09-26,Yu Yangyi,Grischuk,1/2-1/2,2709,2777,D37,1
PRO League KO Stage 2020,2020-09-26,Ding Liren,Giri,1-0,2805,2763,E00,1
PRO League KO Stage 2020,2020-09-26,Grischuk,Ding Liren,0-1,2777,2805,E48,1
PRO League KO Stage 2020,2020-09-26,Giri,Yu Yangyi,1/2-1/2,2763,2709,A20,1
PRO League KO Stage 2020,2020-09-26,Wei Yi,Saric,1-0,2732,2646,B51,1
TCh-ESP Div Honor 2020,2020-09-26,Van Foreest,Navara,1/2-1/2,2682,2707,D27,0
TCh-ESP Div Honor 2020,2020-09-26,Anton Guijarro,Vallejo Pons,1/2-1/2,2688,2710,D30,0
PRO League KO Stage 2020,2020-09-25,So,Yu Yangyi,1/2-1/2,2770,2709,C42,1
PRO League KO Stage 2020,2020-09-25,Wei Yi,Dominguez Perez,1/2-1/2,2732,2758,C67,1
PRO League KO Stage 2020,2020-09-25,Caruana,Wei Yi,1-0,2842,2732,C02,1
PRO League KO Stage 2020,2020-09-25,Ding Liren,So,1/2-1/2,2805,2770,A29,1
PRO League KO Stage 2020,2020-09-25,Ding Liren,Dominguez Perez,1/2-1/2,2805,2758,C50,1
PRO League KO Stage 2020,2020-09-25,Yu Yangyi,Caruana,1/2-1/2,2709,2842,D37,1
PRO League KO Stage 2020,2020-09-25,Caruana,Ding Liren,1/2-1/2,2842,2805,E63,1
PRO League KO Stage 2020,2020-09-25,Dominguez Perez,Yu Yangyi,1/2-1/2,2758,2709,C42,1
PRO League KO Stage 2020,2020-09-25,Wei Yi,So,0-1,2732,2770,A01,1
TCh-ESP Div Honor 2020,2020-09-25,Naiditsch,Anton Guijarro,1-0,2624,2688,C77,0
TCh-ESP Div Honor 2020,2020-09-24,Cheparinov,Navara,1/2-1/2,2686,2707,C65,0
ch-Schachbundesliga 2020,2020-09-20,Caruana,Mamedyarov,1/2-1/2,2835,2764,B40,0
ch-Schachbundesliga 2020,2020-09-20,Adams,Anton Guijarro,1/2-1/2,2706,2688,C53,0
ch-Schachbundesliga 2020,2020-09-20,Amin,Vallejo Pons,0-1,2686,2710,A07,0
ch-Schachbundesliga 2020,2020-09-19,Rapport,Van Foreest,1/2-1/2,2760,2531,A07,1
ch-Schachbundesliga 2020,2020-09-18,Van Foreest,Aronian,1/2-1/2,2682,2773,C50,0
ch-Schachbundesliga 2020,2020-09-18,Van Foreest,Anton Guijarro,0-1,2531,2688,C46,0
Saint Louis Rapid 2020,2020-09-17,Firouzja,Carlsen,0-1,2728,2863,E20,1
Saint Louis Rapid 2020,2020-09-17,Grischuk,Dominguez Perez,1-0,2777,2758,E04,1
Saint Louis Rapid 2020,2020-09-17,Nepo,So,1/2-1/2,2784,2770,C24,1
Saint Louis Rapid 2020,2020-09-17,Aronian,Nakamura,0-1,2773,2736,E47,1
Saint Louis Rapid 2020,2020-09-17,Nakamura,Harikrishna,1/2-1/2,2736,2732,B12,1
Saint Louis Rapid 2020,2020-09-17,So,Aronian,1-0,2770,2773,C67,1
Saint Louis Rapid 2020,2020-09-17,Dominguez Perez,Nepo,1-0,2758,2784,C02,1
Saint Louis Rapid 2020,2020-09-17,Firouzja,Grischuk,1/2-1/2,2728,2777,C53,1
Saint Louis Rapid 2020,2020-09-17,Grischuk,Carlsen,1-0,2777,2863,B75,1
Saint Louis Rapid 2020,2020-09-17,Nepo,Firouzja,1/2-1/2,2784,2728,B10,1
Saint Louis Rapid 2020,2020-09-17,Aronian,Dominguez Perez,1-0,2773,2758,C50,1
Saint Louis Rapid 2020,2020-09-17,Harikrishna,So,0-1,2732,2770,C67,1
Saint Louis Rapid 2020,2020-09-16,Carlsen,Aronian,1-0,2863,2773,D97,1
Saint Louis Rapid 2020,2020-09-16,Harikrishna,Nepo,0-1,2732,2784,B53,1
Saint Louis Rapid 2020,2020-09-16,Nakamura,Firouzja,1-0,2736,2728,B12,1
Saint Louis Rapid 2020,2020-09-16,So,Dominguez Perez,1-0,2770,2758,C80,1
Saint Louis Rapid 2020,2020-09-16,Dominguez Perez,Carlsen,0-1,2758,2863,C41,1
Saint Louis Rapid 2020,2020-09-16,Firouzja,So,1/2-1/2,2728,2770,C42,1
Saint Louis Rapid 2020,2020-09-16,Grischuk,Nakamura,1/2-1/2,2777,2736,D37,1
Saint Louis Rapid 2020,2020-09-16,Aronian,Harikrishna,1/2-1/2,2773,2732,B12,1
Saint Louis Rapid 2020,2020-09-16,Carlsen,Harikrishna,1-0,2863,2732,B12,1
Saint Louis Rapid 2020,2020-09-16,Nakamura,Nepo,0-1,2736,2784,B50,1
Saint Louis Rapid 2020,2020-09-16,So,Grischuk,1/2-1/2,2770,2777,D37,1
Saint Louis Rapid 2020,2020-09-16,Dominguez Perez,Firouzja,1-0,2758,2728,B12,1
Saint Louis Rapid 2020,2020-09-15,Nakamura,Carlsen,0-1,2736,2863,B12,1
Saint Louis Rapid 2020,2020-09-15,Dominguez Perez,Harikrishna,0-1,2758,2732,B12,1
Saint Louis Rapid 2020,2020-09-15,Firouzja,Aronian,0-1,2728,2773,D78,1
Saint Louis Rapid 2020,2020-09-15,Grischuk,Nepo,1/2-1/2,2777,2784,A35,1
Saint Louis Rapid 2020,2020-09-15,Carlsen,Nepo,0-1,2863,2784,A20,1
Saint Louis Rapid 2020,2020-09-15,Aronian,Grischuk,1-0,2773,2777,E20,1
Saint Louis Rapid 2020,2020-09-15,Harikrishna,Firouzja,1/2-1/2,2732,2728,D37,1
Saint Louis Rapid 2020,2020-09-15,Nakamura,So,1/2-1/2,2736,2770,C42,1
Saint Louis Rapid 2020,2020-09-15,So,Carlsen,1/2-1/2,2770,2863,B51,1
Saint Louis Rapid 2020,2020-09-15,Dominguez Perez,Nakamura,1/2-1/2,2758,2736,C67,1
Saint Louis Rapid 2020,2020-09-15,Grischuk,Harikrishna,0-1,2777,2732,D44,1
Saint Louis Rapid 2020,2020-09-15,Nepo,Aronian,1/2-1/2,2784,2773,C44,1
Kurnosov Mem Rapid 2020,2020-09-06,Matlakov,Vitiugov,1/2-1/2,2685,2722,C67,1
TCh-POL Ekstraliga 2020,2020-09-02,Harikrishna,Duda,1/2-1/2,2732,2753,E53,0
Online Olym KO Stage 2020,2020-08-30,Vidit,Nepo,1/2-1/2,2726,2784,D85,1
Online Olym KO Stage 2020,2020-08-30,Artemiev,Harikrishna,1/2-1/2,2716,2732,A06,1
Online Olym KO Stage 2020,2020-08-30,Nepo,Anand,1/2-1/2,2784,2753,C50,1
Online Olym KO Stage 2020,2020-08-30,Vidit,Dubov,1/2-1/2,2726,2699,E62,1
Online Olym KO Stage 2020,2020-08-29,Anand,Duda,0-1,2753,2753,B90,1
Online Olym KO Stage 2020,2020-08-29,Wojtaszek,Vidit,1-0,2717,2726,E00,1
Online Olym KO Stage 2020,2020-08-29,Duda,Anand,0-1,2753,2753,E48,1
Online Olym KO Stage 2020,2020-08-29,Grischuk,So,1/2-1/2,2777,2770,D37,1
Online Olym KO Stage 2020,2020-08-29,Shankland,Dubov,1/2-1/2,2691,2699,C11,1
Online Olym KO Stage 2020,2020-08-29,So,Grischuk,1-0,2770,2777,C53,1
Online Olym KO Stage 2020,2020-08-29,Nepo,Shankland,1-0,2784,2691,B40,1
Online Olym KO Stage 2020,2020-08-28,Anand,Aronian,1/2-1/2,2753,2773,C42,1
Online Olym KO Stage 2020,2020-08-28,Mamedyarov,Duda,0-1,2764,2753,D35,1
Online Olym KO Stage 2020,2020-08-28,Wojtaszek,Mamedov,1-0,2717,2654,E91,1
Online Olym KO Stage 2020,2020-08-28,Duda,Radjabov,1/2-1/2,2753,2765,E40,1
Online Olym KO Stage 2020,2020-08-28,Mamedov,Wojtaszek,1-0,2654,2717,B18,1
Online Olym KO Stage 2020,2020-08-28,So,Ivanchuk,1-0,2770,2678,C07,1
Online Olym KO Stage 2020,2020-08-27,Ding Liren,Ivanchuk,1-0,2791,2678,E15,1
Online Olym KO Stage 2020,2020-08-27,Ivanchuk,Ding Liren,1/2-1/2,2678,2791,E48,1
Online Olym Top DivA 2020,2020-08-23,Wei Yi,Le Quang Liem,1/2-1/2,2732,2709,B13,1
Online Olym Top DivA 2020,2020-08-23,Vidit,Ding Liren,1/2-1/2,2726,2791,D39,1
Online Olym Top DivA 2020,2020-08-23,Yu Yangyi,Harikrishna,1/2-1/2,2709,2732,E36,1
Online Olym Top DivB 2020,2020-08-23,Anton Guijarro,Radjabov,0-1,2688,2765,A14,1
Online Olym Top DivC 2020,2020-08-23,Nepo,Amin,1-0,2784,2686,C84,1
Online Olym Top DivC 2020,2020-08-23,Aronian,Adams,1/2-1/2,2773,2706,D37,1
Online Olym Top DivC 2020,2020-08-23,Nepo,Aronian,1/2-1/2,2784,2773,C24,1
Online Olym Top DivC 2020,2020-08-23,Aronian,Amin,1-0,2773,2686,C55,1
Online Olym Top DivD 2020,2020-08-23,Duda,So,1-0,2753,2770,A13,1
Online Olym Top DivB 2020,2020-08-22,Van Foreest,Anton Guijarro,1/2-1/2,2682,2688,B30,1
Online Olym Top DivB 2020,2020-08-22,Mamedyarov,Ivanchuk,1-0,2764,2678,B22,1
Online Olym Top DivC 2020,2020-08-22,Adams,Amin,1-0,2706,2686,C88,1
Online Olym Top DivC 2020,2020-08-22,Dubov,Jones,1-0,2699,2670,B70,1
Online Olym Top DivA 2020,2020-08-21,Le Quang Liem,Vidit,1/2-1/2,2709,2726,D02,1
Online Olym Top DivB 2020,2020-08-21,Mamedyarov,Giri,0-1,2764,2764,B22,1
Online Olym Top DivB 2020,2020-08-21,Van Foreest,Radjabov,0-1,2682,2765,C50,1
Online Olym Top DivB 2020,2020-08-21,Ivanchuk,Vallejo Pons,1/2-1/2,2678,2710,C15,1
Online Olym Top DivC 2020,2020-08-21,Saric,Adams,1-0,2646,2706,C89,1
Online Olym Top DivC 2020,2020-08-21,Grischuk,Saric,1/2-1/2,2777,2646,E97,1
Carlsen Tour Final 2020,2020-08-20,Nakamura,Carlsen,0-1,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-20,Carlsen,Nakamura,1/2-1/2,2863,2736,B31,1
Carlsen Tour Final 2020,2020-08-20,Nakamura,Carlsen,1-0,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-20,Carlsen,Nakamura,1/2-1/2,2863,2736,A20,1
Carlsen Tour Final 2020,2020-08-20,Nakamura,Carlsen,1-0,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-20,Carlsen,Nakamura,1-0,2863,2736,A28,1
Carlsen Tour Final 2020,2020-08-20,Nakamura,Carlsen,1/2-1/2,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-19,Carlsen,Nakamura,1-0,2863,2736,E47,1
Carlsen Tour Final 2020,2020-08-19,Nakamura,Carlsen,1/2-1/2,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-19,Carlsen,Nakamura,1/2-1/2,2863,2736,C67,1
Carlsen Tour Final 2020,2020-08-19,Nakamura,Carlsen,0-1,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-18,Nakamura,Carlsen,1/2-1/2,2736,2863,C67,1
Carlsen Tour Final 2020,2020-08-18,Carlsen,Nakamura,1/2-1/2,2863,2736,C50,1
Carlsen Tour Final 2020,2020-08-18,Nakamura,Carlsen,1/2-1/2,2736,2863,C67,1
Carlsen Tour Final 2020,2020-08-18,Carlsen,Nakamura,1/2-1/2,2863,2736,D02,1
Carlsen Tour Final 2020,2020-08-18,Nakamura,Carlsen,0-1,2736,2863,B03,1
Carlsen Tour Final 2020,2020-08-18,Carlsen,Nakamura,0-1,2863,2736,E94,1
Carlsen Tour Final 2020,2020-08-18,Carlsen,Nakamura,0-1,2863,2736,E29,1
Carlsen Tour Final 2020,2020-08-17,Carlsen,Nakamura,1/2-1/2,2863,2736,A20,1
Carlsen Tour Final 2020,2020-08-17,Nakamura,Carlsen,1/2-1/2,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-17,Carlsen,Nakamura,1-0,2863,2736,C50,1
Carlsen Tour Final 2020,2020-08-17,Nakamura,Carlsen,1/2-1/2,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-16,Nakamura,Carlsen,0-1,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-16,Carlsen,Nakamura,1/2-1/2,2863,2736,C67,1
Carlsen Tour Final 2020,2020-08-16,Nakamura,Carlsen,1-0,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-16,Carlsen,Nakamura,1/2-1/2,2863,2736,D02,1
Carlsen Tour Final 2020,2020-08-16,Nakamura,Carlsen,1-0,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-16,Carlsen,Nakamura,1/2-1/2,2863,2736,A20,1
Online Olym Div2 C 2020,2020-08-16,Giri,Anton Guijarro,1-0,2764,2688,E90,1
Carlsen Tour Final 2020,2020-08-15,Carlsen,Nakamura,0-1,2863,2736,D37,1
Carlsen Tour Final 2020,2020-08-15,Nakamura,Carlsen,1/2-1/2,2736,2863,C67,1
Carlsen Tour Final 2020,2020-08-15,Carlsen,Nakamura,1-0,2863,2736,A20,1
Carlsen Tour Final 2020,2020-08-15,Nakamura,Carlsen,1/2-1/2,2736,2863,C67,1
Carlsen Tour Final 2020,2020-08-15,Carlsen,Nakamura,1/2-1/2,2863,2736,D30,1
Carlsen Tour Final 2020,2020-08-15,Nakamura,Carlsen,0-1,2736,2863,C65,1
Carlsen Tour Final 2020,2020-08-14,Nakamura,Carlsen,1/2-1/2,2736,2863,B90,1
Carlsen Tour Final 2020,2020-08-14,Carlsen,Nakamura,0-1,2863,2736,D37,1
Carlsen Tour Final 2020,2020-08-14,Nakamura,Carlsen,1/2-1/2,2736,2863,B90,1
Carlsen Tour Final 2020,2020-08-14,Carlsen,Nakamura,1/2-1/2,2863,2736,A28,1
Carlsen Tour Final 2020,2020-08-12,Carlsen,Ding Liren,1-0,2863,2791,D43,1
Carlsen Tour Final 2020,2020-08-12,Ding Liren,Carlsen,1-0,2791,2863,E62,1
Carlsen Tour Final 2020,2020-08-12,Carlsen,Ding Liren,1/2-1/2,2863,2791,D37,1
Carlsen Tour Final 2020,2020-08-12,Ding Liren,Carlsen,1/2-1/2,2791,2863,E60,1
Carlsen Tour Final 2020,2020-08-12,Carlsen,Ding Liren,1/2-1/2,2863,2791,D02,1
Carlsen Tour Final 2020,2020-08-12,Ding Liren,Carlsen,0-1,2791,2863,E01,1
Carlsen Tour Final 2020,2020-08-11,Ding Liren,Carlsen,1/2-1/2,2791,2863,E62,1
Carlsen Tour Final 2020,2020-08-11,Dubov,Nakamura,1/2-1/2,2699,2736,A29,1
Carlsen Tour Final 2020,2020-08-11,Carlsen,Ding Liren,1-0,2863,2791,B90,1
Carlsen Tour Final 2020,2020-08-11,Nakamura,Dubov,1/2-1/2,2736,2699,B67,1
Carlsen Tour Final 2020,2020-08-11,Ding Liren,Carlsen,0-1,2791,2863,B90,1
Carlsen Tour Final 2020,2020-08-11,Dubov,Nakamura,0-1,2699,2736,A29,1
Carlsen Tour Final 2020,2020-08-11,Nakamura,Dubov,1/2-1/2,2736,2699,B67,1
Carlsen Tour Final 2020,2020-08-10,Carlsen,Ding Liren,1-0,2863,2791,D41,1
Carlsen Tour Final 2020,2020-08-10,Nakamura,Dubov,1/2-1/2,2736,2699,B33,1
Carlsen Tour Final 2020,2020-08-10,Ding Liren,Carlsen,0-1,2791,2863,C50,1
Carlsen Tour Final 2020,2020-08-10,Dubov,Nakamura,1/2-1/2,2699,2736,A29,1
Carlsen Tour Final 2020,2020-08-10,Carlsen,Ding Liren,1/2-1/2,2863,2791,E91,1
Carlsen Tour Final 2020,2020-08-10,Nakamura,Dubov,1-0,2736,2699,B33,1
Carlsen Tour Final 2020,2020-08-10,Dubov,Nakamura,0-1,2699,2736,C26,1
Carlsen Tour Final 2020,2020-08-09,Ding Liren,Carlsen,1-0,2791,2863,B90,1
Carlsen Tour Final 2020,2020-08-09,Dubov,Nakamura,1-0,2699,2736,E21,1
Carlsen Tour Final 2020,2020-08-09,Carlsen,Ding Liren,1-0,2863,2791,D02,1
Carlsen Tour Final 2020,2020-08-09,Nakamura,Dubov,1-0,2736,2699,B60,1
Carlsen Tour Final 2020,2020-08-09,Ding Liren,Carlsen,1/2-1/2,2791,2863,B13,1
Carlsen Tour Final 2020,2020-08-09,Dubov,Nakamura,0-1,2699,2736,E21,1
Carlsen Tour Final 2020,2020-08-09,Carlsen,Ding Liren,1/2-1/2,2863,2791,C67,1
Carlsen Tour Final 2020,2020-08-09,Nakamura,Dubov,0-1,2736,2699,B56,1
Carlsen Tour Final 2020,2020-08-09,Ding Liren,Carlsen,1-0,2791,2863,B13,1
Carlsen Tour Final 2020,2020-08-09,Dubov,Nakamura,1/2-1/2,2699,2736,E06,1
Carlsen Tour Final 2020,2020-08-09,Carlsen,Ding Liren,1-0,2863,2791,D02,1
Carlsen Tour Final 2020,2020-08-09,Nakamura,Dubov,1-0,2736,2699,B60,1
Carlsen Tour Final 2020,2020-08-09,Carlsen,Ding Liren,1/2-1/2,2863,2791,A48,1
Legends of Chess Final,2020-08-04,Carlsen,Nepo,1-0,2863,2784,A48,1
Legends of Chess Final,2020-08-04,Nepo,Carlsen,0-1,2784,2863,B90,1
Legends of Chess Final,2020-08-04,Carlsen,Nepo,1/2-1/2,2863,2784,A41,1
Legends of Chess Final,2020-08-03,Nepo,Carlsen,0-1,2784,2863,B90,1
Legends of Chess Final,2020-08-03,Carlsen,Nepo,1/2-1/2,2863,2784,D85,1
Legends of Chess Final,2020-08-03,Nepo,Carlsen,1-0,2784,2863,B90,1
Legends of Chess Final,2020-08-03,Carlsen,Nepo,1/2-1/2,2863,2784,D79,1
Legends of Chess Final,2020-08-03,Nepo,Carlsen,0-1,2784,2863,B90,1
Legends of Chess Final,2020-08-03,Carlsen,Nepo,1-0,2863,2784,B06,1
Legends of Chess Final,2020-08-02,Giri,Nepo,1/2-1/2,2764,2784,D02,1
Legends of Chess Final,2020-08-02,Nepo,Giri,1/2-1/2,2784,2764,C65,1
Legends of Chess Final,2020-08-02,Giri,Nepo,1/2-1/2,2764,2784,D02,1
Legends of Chess Final,2020-08-02,Nepo,Giri,1/2-1/2,2784,2764,C67,1
Legends of Chess Final,2020-08-02,Giri,Nepo,1/2-1/2,2764,2784,D87,1
Legends of Chess Final,2020-08-02,Nepo,Giri,1-0,2784,2764,C45,1
Legends of Chess Final,2020-08-01,Carlsen,Svidler,1-0,2863,2723,B90,1
Legends of Chess Final,2020-08-01,Nepo,Giri,1/2-1/2,2784,2764,C45,1
Legends of Chess Final,2020-08-01,Svidler,Carlsen,0-1,2723,2863,A07,1
Legends of Chess Final,2020-08-01,Giri,Nepo,0-1,2764,2784,A33,1
Legends of Chess Final,2020-08-01,Carlsen,Svidler,1/2-1/2,2863,2723,B51,1
Legends of Chess Final,2020-08-01,Nepo,Giri,0-1,2784,2764,B51,1
Legends of Chess Final,2020-08-01,Giri,Nepo,1/2-1/2,2764,2784,D85,1
Legends of Chess Final,2020-08-01,Nepo,Giri,1-0,2784,2764,B90,1
Legends of Chess Final,2020-08-01,Giri,Nepo,1-0,2764,2784,A35,1
Legends of Chess Final,2020-08-01,Nepo,Giri,0-1,2784,2764,C67,1
Legends of Chess Final,2020-07-31,Svidler,Carlsen,0-1,2723,2863,A22,1
Legends of Chess Final,2020-07-31,Giri,Nepo,1/2-1/2,2764,2784,D85,1
Legends of Chess Final,2020-07-31,Carlsen,Svidler,1/2-1/2,2863,2723,B90,1
Legends of Chess Final,2020-07-31,Nepo,Giri,1-0,2784,2764,C24,1
Legends of Chess Final,2020-07-31,Svidler,Carlsen,0-1,2723,2863,A15,1
Legends of Chess Final,2020-07-31,Giri,Nepo,0-1,2764,2784,D85,1
53rd Biel GMT 2020,2020-07-29,Anton Guijarro,Harikrishna,0-1,2703,2719,D45,0
53rd Biel GMT 2020,2020-07-29,Adams,Naiditsch,1-0,2701,2626,C55,0
Legends of Chess Prelim,2020-07-29,Ivanchuk,Anand,1/2-1/2,2678,2753,D38,1
Legends of Chess Prelim,2020-07-29,Svidler,Giri,1/2-1/2,2723,2764,A20,1
Legends of Chess Prelim,2020-07-29,Carlsen,Kramnik,1/2-1/2,2863,2753,C50,1
Legends of Chess Prelim,2020-07-29,Anand,Ivanchuk,1/2-1/2,2753,2678,C84,1
Legends of Chess Prelim,2020-07-29,Giri,Svidler,1/2-1/2,2764,2723,D91,1
Legends of Chess Prelim,2020-07-29,Kramnik,Carlsen,1/2-1/2,2753,2863,B92,1
Legends of Chess Prelim,2020-07-29,Ivanchuk,Anand,1/2-1/2,2678,2753,E51,1
Legends of Chess Prelim,2020-07-29,Svidler,Giri,0-1,2723,2764,A20,1
Legends of Chess Prelim,2020-07-29,Carlsen,Kramnik,1-0,2863,2753,D35,1
Legends of Chess Prelim,2020-07-29,Anand,Ivanchuk,1/2-1/2,2753,2678,C84,1
Legends of Chess Prelim,2020-07-29,Giri,Svidler,1/2-1/2,2764,2723,B06,1
Legends of Chess Prelim,2020-07-29,Kramnik,Carlsen,0-1,2753,2863,B87,1
Legends of Chess Prelim,2020-07-29,Anand,Ivanchuk,1/2-1/2,2753,2678,D37,1
53rd Biel GMT 2020,2020-07-28,Naiditsch,Anton Guijarro,1-0,2626,2703,B30,0
Legends of Chess Prelim,2020-07-28,Nepo,Carlsen,1/2-1/2,2784,2863,A15,1
Legends of Chess Prelim,2020-07-28,Kramnik,Svidler,0-1,2753,2723,B84,1
Legends of Chess Prelim,2020-07-28,Giri,Ivanchuk,1/2-1/2,2764,2678,A30,1
Legends of Chess Prelim,2020-07-28,Anand,Ding Liren,0-1,2753,2791,B90,1
Legends of Chess Prelim,2020-07-28,Carlsen,Nepo,1-0,2863,2784,D85,1
Legends of Chess Prelim,2020-07-28,Svidler,Kramnik,1/2-1/2,2723,2753,D77,1
Legends of Chess Prelim,2020-07-28,Ivanchuk,Giri,0-1,2678,2764,C65,1
Legends of Chess Prelim,2020-07-28,Ding Liren,Anand,1/2-1/2,2791,2753,A08,1
Legends of Chess Prelim,2020-07-28,Nepo,Carlsen,1/2-1/2,2784,2863,A13,1
Legends of Chess Prelim,2020-07-28,Kramnik,Svidler,1/2-1/2,2753,2723,B90,1
Legends of Chess Prelim,2020-07-28,Giri,Ivanchuk,0-1,2764,2678,A15,1
Legends of Chess Prelim,2020-07-28,Anand,Ding Liren,0-1,2753,2791,B90,1
Legends of Chess Prelim,2020-07-28,Carlsen,Nepo,0-1,2863,2784,A41,1
Legends of Chess Prelim,2020-07-28,Svidler,Kramnik,1/2-1/2,2723,2753,B15,1
Legends of Chess Prelim,2020-07-28,Ivanchuk,Giri,1/2-1/2,2678,2764,E51,1
Legends of Chess Prelim,2020-07-28,Nepo,Carlsen,1/2-1/2,2784,2863,A20,1
Legends of Chess Prelim,2020-07-28,Ivanchuk,Giri,1-0,2678,2764,D19,1
53rd Biel GMT 2020,2020-07-27,Wojtaszek,Harikrishna,0-1,2719,2719,D12,0
53rd Biel GMT 2020,2020-07-27,Anton Guijarro,Adams,1-0,2703,2701,A13,0
Legends of Chess Prelim,2020-07-27,Ding Liren,Giri,0-1,2791,2764,E06,1
Legends of Chess Prelim,2020-07-27,Ivanchuk,Kramnik,1-0,2678,2753,D40,1
Legends of Chess Prelim,2020-07-27,Svidler,Carlsen,1/2-1/2,2723,2863,A20,1
Legends of Chess Prelim,2020-07-27,Giri,Ding Liren,1/2-1/2,2764,2791,A20,1
Legends of Chess Prelim,2020-07-27,Kramnik,Ivanchuk,0-1,2753,2678,B76,1
Legends of Chess Prelim,2020-07-27,Carlsen,Svidler,1/2-1/2,2863,2723,C90,1
Legends of Chess Prelim,2020-07-27,Ding Liren,Giri,0-1,2791,2764,E48,1
Legends of Chess Prelim,2020-07-27,Ivanchuk,Kramnik,0-1,2678,2753,A32,1
Legends of Chess Prelim,2020-07-27,Svidler,Carlsen,1/2-1/2,2723,2863,A22,1
Legends of Chess Prelim,2020-07-27,Kramnik,Ivanchuk,0-1,2753,2678,C50,1
Legends of Chess Prelim,2020-07-27,Carlsen,Svidler,1-0,2863,2723,A48,1
Legends of Chess Prelim,2020-07-26,Anand,Nepo,1/2-1/2,2753,2784,B90,1
Legends of Chess Prelim,2020-07-26,Ding Liren,Carlsen,1/2-1/2,2791,2863,A05,1
Legends of Chess Prelim,2020-07-26,Ivanchuk,Svidler,1-0,2678,2723,D94,1
Legends of Chess Prelim,2020-07-26,Nepo,Anand,1-0,2784,2753,C24,1
Legends of Chess Prelim,2020-07-26,Carlsen,Ding Liren,1-0,2863,2791,D43,1
Legends of Chess Prelim,2020-07-26,Svidler,Ivanchuk,1-0,2723,2678,A13,1
Legends of Chess Prelim,2020-07-26,Anand,Nepo,1/2-1/2,2753,2784,B90,1
