Event,Date,White,Black,Result,WhiteElo,BlackElo,ECO,SpeedChess
Magnus Carlsen Inv Prelim,2021-03-15,Firouzja,So,1/2-1/2,2759,2770,D02,1
Magnus Carlsen Inv Prelim,2021-03-15,Anton Guijarro,Radjabov,0-1,2673,2765,A05,1
Magnus Carlsen Inv Prelim,2021-03-15,Mamedyarov,Nepo,0-1,2770,2789,B22,1
Magnus Carlsen Inv Prelim,2021-03-15,Giri,Nepo,0-1,2776,2789,B46,1
Magnus Carlsen Inv Prelim,2021-03-15,Karjakin,Mamedyarov,0-1,2757,2770,B29,1
Magnus Carlsen Inv Prelim,2021-03-15,So,Carlsen,1/2-1/2,2770,2847,D10,1
Magnus Carlsen Inv Prelim,2021-03-15,Aronian,Firouzja,1/2-1/2,2781,2759,D02,1
Magnus Carlsen Inv Prelim,2021-03-15,Dubov,MVL,1/2-1/2,2710,2758,E06,1
Magnus Carlsen Inv Prelim,2021-03-15,Nakamura,Van Foreest,1/2-1/2,2736,2701,C65,1
Magnus Carlsen Inv Prelim,2021-03-15,Van Foreest,Giri,1/2-1/2,2701,2776,D77,1
Magnus Carlsen Inv Prelim,2021-03-15,MVL,Nakamura,1/2-1/2,2758,2736,C67,1
Magnus Carlsen Inv Prelim,2021-03-15,Firouzja,Dubov,1/2-1/2,2759,2710,D78,1
Magnus Carlsen Inv Prelim,2021-03-15,Carlsen,Aronian,1/2-1/2,2847,2781,D38,1
Magnus Carlsen Inv Prelim,2021-03-15,Anton Guijarro,So,1/2-1/2,2673,2770,C22,1
Magnus Carlsen Inv Prelim,2021-03-15,Mamedyarov,Radjabov,1/2-1/2,2770,2765,C47,1
Magnus Carlsen Inv Prelim,2021-03-15,Nepo,Karjakin,1/2-1/2,2789,2757,C67,1
Magnus Carlsen Inv Prelim,2021-03-15,Giri,Karjakin,1/2-1/2,2776,2757,C65,1
Magnus Carlsen Inv Prelim,2021-03-15,Radjabov,Nepo,1/2-1/2,2765,2789,D85,1
Magnus Carlsen Inv Prelim,2021-03-15,Aronian,Anton Guijarro,1-0,2781,2673,A46,1
Magnus Carlsen Inv Prelim,2021-03-15,Dubov,Carlsen,1/2-1/2,2710,2847,D43,1
Magnus Carlsen Inv Prelim,2021-03-15,Nakamura,Firouzja,1/2-1/2,2736,2759,C67,1
Magnus Carlsen Inv Prelim,2021-03-15,Van Foreest,MVL,1/2-1/2,2701,2758,B12,1
Magnus Carlsen Inv Prelim,2021-03-15,MVL,Giri,1/2-1/2,2758,2776,B90,1
Magnus Carlsen Inv Prelim,2021-03-15,Firouzja,Van Foreest,1/2-1/2,2759,2701,C67,1
Magnus Carlsen Inv Prelim,2021-03-15,Carlsen,Nakamura,1/2-1/2,2847,2736,C20,1
Magnus Carlsen Inv Prelim,2021-03-15,Anton Guijarro,Dubov,0-1,2673,2710,A05,1
Magnus Carlsen Inv Prelim,2021-03-15,Mamedyarov,So,1/2-1/2,2770,2770,C67,1
Magnus Carlsen Inv Prelim,2021-03-15,Karjakin,Radjabov,1-0,2757,2765,B30,1
Magnus Carlsen Inv Prelim,2021-03-14,Giri,Anton Guijarro,1-0,2776,2673,C83,1
Magnus Carlsen Inv Prelim,2021-03-14,Mamedyarov,Firouzja,0-1,2770,2759,B22,1
Magnus Carlsen Inv Prelim,2021-03-14,Nepo,MVL,1-0,2789,2758,A01,1
Magnus Carlsen Inv Prelim,2021-03-14,Karjakin,Van Foreest,1-0,2757,2701,C11,1
Magnus Carlsen Inv Prelim,2021-03-14,Radjabov,Nakamura,1/2-1/2,2765,2736,D37,1
Magnus Carlsen Inv Prelim,2021-03-14,So,Aronian,1-0,2770,2781,E32,1
Magnus Carlsen Inv Prelim,2021-03-14,Aronian,Giri,0-1,2781,2776,D97,1
Magnus Carlsen Inv Prelim,2021-03-14,Dubov,So,0-1,2710,2770,E06,1
Magnus Carlsen Inv Prelim,2021-03-14,Van Foreest,Radjabov,1/2-1/2,2701,2765,C66,1
